home,away,team,matchweek,player,shot_type,situation,player_coordinates_x,player_coordinates_y,player_coordinates_z,body_part,goal_mouth_location,goal_mouth_coordinates_x,goal_mouth_coordinates_y,goal_mouth_coordinates_z,id,time,added_time,time_seconds,draw_start_x,draw_start_y,draw_end_x,draw_end_y,draw_goal_x,draw_goal_y,reversed_period_time,reversed_period_time_seconds,incident_type,block_coordinates_x,block_coordinates_y,block_coordinates_z,draw_block_x,draw_block_y,goal_type
aucas,orense,aucas,1,Marcelo Eggel,miss,assisted,58.73921686737396,62.86980234525423,0,left-foot,left,0,74.289532237415,29.2,2539305,47,3.0,2833,41.86909386327376,31.863404226001357,47.322043376634284,0,4.532991083986481,100.0,1,2567,shot,0.0,0.0,0.0,0.0,0.0,0
aucas,orense,aucas,1,Cristian Barros,block,free-kick,26.373975860887235,91.30396199273619,0,right-foot,low-centre,0,2.424373732920543,19.0,2539222,49,0.0,2499,82.25371216970092,34.77475760965232,76.08065599153767,0,55.091991849945074,81.0,4,201,shot,18.31717120088516,99.39426165890289,0.0,45.396382628634385,25.203698876637095,0
aucas,orense,aucas,1,Robert Burbano,miss,regular,15.101073770827394,100.0,0,right-foot,close-high,0,39.524868283862006,56.9,2539214,39,0.0,2308,9.905391459803575,12.619197297694857,17.666766114166265,0,53.895068263487374,24.218038710684844,7,392,shot,0.0,0.0,0.0,0.0,0.0,0
aucas,orense,aucas,1,Renny Jaramillo,block,assisted,16.086530778217377,28.157250582333134,0,left-foot,low-centre,0,79.47270512678938,19.0,2539213,36,0.0,2251,20.521682256643956,14.159459330594391,26.82437977604642,0,69.16445867325379,81.0,8,449,shot,34.35186665784714,11.316641144287722,0.0,52.54849858969468,7.842723830583356,0
aucas,orense,orense,1,Walter Agustin Herrera,save,assisted,0.1293199156768705,33.18953760669474,0,right-foot,low-right,0,86.01084637469297,3.2,2539206,40,0.0,2121,9.77089377895291,1.9305691057508148,100.0,0,100.0,94.5562041412527,10,579,shot,0.2209001130122243,10.016997551301237,0.0,82.9215089569584,0.3439666255612404,0
aucas,orense,aucas,1,Jose Luis Monaga Quinonez,miss,corner,12.247962075958135,40.06182104730878,0,left-foot,right,0,46.46970744999214,20.8,2539181,23,0.0,1860,48.929739751386165,35.64771557580068,94.36666302705315,0,100.0,60.719646069915584,14,840,shot,0.0,0.0,0.0,0.0,0.0,0
aucas,orense,aucas,1,Angelo Mina,goal,assisted,12.7655453867879,18.03688437151392,0,left-foot,high-left,0,6.134793894164858,20.9,2539160,33,0.0,1477,10.804896642998187,11.300032886386793,63.50468786874448,0,69.01446626136675,9.951794349225565,21,1223,shot,0.0,0.0,0.0,0.0,0.0,regular
aucas,orense,orense,1,Jeison Medina,miss,regular,3.5656353302841968,75.0,0,right-foot,close-right,0,44.142533504231466,37.5,2539132,15,0.0,1066,75.0,3.440853745384885,89.8754476691081,0,100.0,100.0,28,1634,shot,0.0,0.0,0.0,0.0,0.0,0
aucas,orense,aucas,1,Marcelo Eggel,save,assisted,21.744346915603437,100.0,0,left-foot,low-centre,0,60.61439362898814,16.5,2539114,25,0.0,928,35.54942690668631,30.57698368865386,58.33982548692721,0,14.29184105783358,100.0,30,1772,shot,2.71955454018653,47.850808847787896,0.0,4.033317268499559,2.474476918768683,0
aucas,orense,aucas,1,Juan Gonzalez,miss,regular,50.295403636853074,13.73217780947546,0,right-foot,left,0,1.9117217626600151,15.3,2539095,10,0.0,582,12.281410541856872,42.83870170806298,26.60641853362921,0,58.973666135334256,100.0,36,2118,shot,0.0,0.0,0.0,0.0,0.0,0
aucas,orense,orense,1,Edison Vega,miss,corner,9.621780289372317,36.151829684513224,0,left-foot,high-right,0,39.0,43.1,2539106,12,0.0,523,55.50537751312178,22.247326883615422,61.0,0,61.0,32.5098971188362,37,2177,shot,0.0,0.0,0.0,0.0,0.0,0
aucas,orense,aucas,1,Jeison Medina,post,assisted,11.894547459963533,72.04117482273597,0,head,left,0,30.66019131069696,20.9,2539111,7,0.0,337,40.575303090763136,0.5395479631220308,8.388670727846048,0,9.13504496631873,76.29673641983388,40,2363,shot,0.0,0.0,0.0,0.0,0.0,0
barcelona,imbabura,imbabura,1,Erick Mendoza,block,assisted,31.76706422504337,79.79371894351635,0,right-foot,low-centre,0,73.13805380767505,19.0,2546115,84,1.0,5458,53.64504529099812,21.06431788008605,78.4385640384194,0,57.65796493737866,81.0,1,842,shot,7.328014182616354,15.264796378405983,0.0,75.75697708771489,20.028306122665622,0
barcelona,imbabura,barcelona,1,Leandro Pantoja,save,free-kick,7.767981595844944,30.54643587189681,0,right-foot,low-right,0,77.34343320157316,13.3,2546112,99,1.0,5435,47.027442276794424,45.04990186853016,100.0,0,32.16731219826462,100.0,1,865,shot,1.0,1.7510362730370588,0.0,48.421252121188544,1.0,0
barcelona,imbabura,imbabura,1,Gabriel Cortez,miss,free-kick,14.809581579815372,2.753704570349001,0,right-foot,high,0,20.484400616178277,91.7,2546028,81,0.0,5265,85.00545961668358,33.65400636737206,29.194780275596614,0,7.499035260482614,9.207357761374567,3,135,shot,0.0,0.0,0.0,0.0,0.0,0
barcelona,imbabura,imbabura,1,Federico Paz,save,assisted,2.6781388472439893,46.96272222158454,0,right-foot,low-centre,0,70.15066143985564,8.9,2545981,78,0.0,4864,1.8108637549995592,5.117859853109476,86.4317415954587,0,69.12183131933574,60.2400727881753,9,536,shot,3.5437720471061853,25.97214454297908,0.0,37.3921999049097,0.14550581486973257,0
barcelona,imbabura,barcelona,1,Erick Mendoza,block,assisted,16.934321985688502,100.0,0,right-foot,low-centre,0,63.13832277280834,19.0,2545975,83,0.0,4522,100.0,22.39881948726671,48.95767757280602,0,27.353826777110513,81.0,15,878,shot,9.61043936774971,17.431407877461368,0.0,98.13439547873135,6.731991489681715,0
barcelona,imbabura,barcelona,1,Francisco Fydriszewski,goal,assisted,5.090591902969441,96.98136226976811,0,left-foot,low-left,0,46.64644822231768,3.2,2545946,64,0.0,3854,62.87676371366143,5.339992489249191,54.184130555292946,0,38.62414369643303,93.94082785983339,26,1546,shot,0.0,0.0,0.0,0.0,0.0,regular
barcelona,imbabura,imbabura,1,Federico Paz,miss,assisted,36.177133063883446,12.01468901811294,0,right-foot,close-left,0,59.0,9.7,2545937,60,0.0,3664,1.4680364643885682,10.686977215918262,41.0,0,41.0,100.0,29,1736,shot,0.0,0.0,0.0,0.0,0.0,0
barcelona,imbabura,imbabura,1,Leonai Souza de Almeida,block,corner,29.65313359214971,30.12128155578685,0,right-foot,low-centre,0,89.23424945393288,19.0,2545936,53,0.0,3626,100.0,0.43977668738275,12.69508361767862,0,49.53801871957457,81.0,30,1774,shot,17.0,30.313607054824317,0.0,72.30561976203957,17.0,0
barcelona,imbabura,imbabura,1,Damián Díaz,save,assisted,7.273005777387564,78.96013217539061,0,right-foot,low-centre,0,36.9490039818506,13.9,2545928,61,0.0,3376,81.0965120570726,1.9975738494816326,91.81262228162672,0,64.05856037636391,19.092977044954594,34,2024,shot,0.9360769720132724,28.204920342122406,0.0,83.48029897054643,2.4910086396533817,0
barcelona,imbabura,barcelona,1,Leonai Souza de Almeida,miss,corner,20.022989457142526,72.36502368447616,0,right-foot,high,0,83.8249486116919,79.2,2545925,60,0.0,3285,96.28573691804316,22.85141974891722,40.79639388891355,0,37.40521768781257,11.334547354079678,36,2115,shot,0.0,0.0,0.0,0.0,0.0,0
barcelona,imbabura,imbabura,1,Leonai Souza de Almeida,block,throw-in-set-piece,13.0,19.690398879748553,0,left-foot,high-left,0,84.98854126822863,26.4,2545924,44,0.0,3233,5.522967873339223,13.0,8.515073167419906,0,71.1593660118481,58.9066501399175,37,2167,shot,21.436661890722412,6.106960468705054,0.0,16.013373104318042,4.439419129972693,0
barcelona,imbabura,barcelona,1,Francisco Fydriszewski,block,corner,0.46525989175896676,60.7026231123973,0,head,low-centre,0,57.05381086756248,19.0,2545935,58,0.0,2997,86.16724993267303,7.277777567766869,50.10499074890709,0,31.981921771656168,81.0,41,2403,shot,8.751814125764724,50.0,0.0,50.0,3.0689412313017774,0
barcelona,imbabura,barcelona,1,Leandro Pantoja,block,assisted,55.67479661227282,96.1117704782963,0,right-foot,low-centre,0,22.223732537215575,19.0,2545921,50,0.0,2907,2.353258514345576,16.94694236006336,56.18957113960483,0,52.07694157123883,81.0,42,2493,shot,24.833666459309576,40.65390804452503,0.0,66.76911909746869,44.017745842410356,0
barcelona,imbabura,barcelona,1,Cristhian Solano,save,assisted,5.22295868752791,29.852372917035943,0,left-foot,low-centre,0,79.13681729262278,0.6,2545872,44,2.0,2803,25.443601779967757,7.0584654866492365,53.98501316798421,0,8.8074655604278,23.895860165370493,1,2597,shot,1.3678911859609886,28.957866475593512,0.0,92.52328029086593,0.601167478863669,0
barcelona,imbabura,imbabura,1,Damián Díaz,miss,set-piece,15.04666213111048,64.63670836170444,0,right-foot,close-high,0,15.53723534560256,59.7,2545870,39,0.0,2672,15.038231643939184,2.9342071974259447,80.07575882927898,0,97.97576672719921,12.920268865194586,1,28,shot,0.0,0.0,0.0,0.0,0.0,0
barcelona,imbabura,barcelona,1,Damián Díaz,block,free-kick,6.298214582073712,17.412503461694897,0,right-foot,low-left,0,1.1930836666690396,19.4,2545869,50,0.0,2667,97.09314159197918,30.01953191770162,68.08281361492519,0,41.294780526590635,100.0,1,33,shot,29.199089788545617,36.78127921500732,0.0,61.44685850336718,21.69843257234138,0
barcelona,imbabura,imbabura,1,Erick Mendoza,save,corner,13.590058778062101,55.549822938951216,0,right-foot,low-centre,0,24.801226744451938,10.8,2545862,48,0.0,2308,21.25424635504765,4.668699094360424,18.990352247982813,0,74.17294145904681,83.71553051332789,7,392,shot,0.18296460748781573,48.0,0.0,48.0,2.024785041967207,0
barcelona,imbabura,imbabura,1,Erick Mendoza,save,regular,7.3867902632901945,100.0,0,right-foot,low-left,0,83.42632182056343,10.8,2545853,39,0.0,2043,100.0,45.92499148348427,2.519334627922447,0,84.21195307841319,100.0,11,657,shot,2.0,40.68159444080074,0.0,10.78349143088191,2.0,0
barcelona,imbabura,imbabura,1,Leandro Pantoja,block,free-kick,24.0,26.071192258406008,0,right-foot,low-centre,0,16.961591687727534,19.0,2545850,25,0.0,1934,55.37394620978532,24.0,21.075946979015512,0,89.94873626396047,81.0,13,766,shot,11.815896461432441,51.91823395728493,0.0,71.92260898728148,2.305403299955021,0
barcelona,imbabura,barcelona,1,Janner Corozo,goal,assisted,24.331034865762245,45.635191538389314,0,left-foot,low-centre,0,96.71044123766266,8.9,2545816,23,0.0,1417,48.55928487960491,22.405002280887867,78.54180978088728,0,9.651055838543705,16.41966379338949,22,1283,shot,0.0,0.0,0.0,0.0,0.0,regular
barcelona,imbabura,imbabura,1,Francisco Fydriszewski,save,regular,3.1986253544518064,61.86979121276144,0,right-foot,low-centre,0,2.5457708647370936,1.9,2545846,27,0.0,1295,82.9154384003554,13.822270287172865,21.430592947784618,0,71.46316565291869,100.0,24,1405,shot,0.8580863249228734,50.0,0.0,50.0,1.941073815673276,0
barcelona,imbabura,barcelona,1,Leonai Souza de Almeida,miss,regular,28.361927092120144,37.6910448563566,0,right-foot,high,0,53.74376904132415,86.1,2545845,25,0.0,1150,28.53661121434196,12.531963864452209,15.774928245178664,0,20.09849493233815,5.323953516551667,26,1550,shot,0.0,0.0,0.0,0.0,0.0,0
barcelona,imbabura,barcelona,1,Francisco Fydriszewski,save,assisted,5.864432431245089,10.570091996250511,0,right-foot,low-centre,0,64.71057028847702,10.8,2545811,20,0.0,1116,54.510463833914,9.600973625424512,25.116118157604504,0,28.095163367549176,98.15309658406129,27,1584,shot,8.54971290021574,58.04028166712067,0.0,34.019801044665,4.211194701730523,0
barcelona,imbabura,barcelona,1,Leonai Souza de Almeida,block,corner,31.943739305332727,91.45263732466248,0,right-foot,low-centre,0,13.747257363162852,19.0,2545805,20,0.0,1076,69.19465304439984,27.375430260907343,10.374488889088916,0,70.74430527490034,81.0,28,1624,shot,15.0,97.71057193125051,0.0,55.87060585261845,15.0,0
barcelona,imbabura,barcelona,1,Edison Caicedo,block,corner,1.768208912347375,12.297893250715958,0,head,low-centre,0,50.0,19.0,2545804,17,0.0,960,62.832727906705856,4.188569554178163,50.0,0,50.0,81.0,29,1740,shot,9.734257996928127,26.830135566446863,0.0,55.47327393886628,7.948639176601736,0
barcelona,imbabura,imbabura,1,Xavier Pineda,block,assisted,44.591854029481254,100.0,0,right-foot,low-centre,0,25.02037678440462,19.0,2545801,25,0.0,911,20.824964017461483,46.22954638849306,2.214201906985288,0,2.499414996529005,81.0,30,1789,shot,33.80331238623395,63.0,0.0,63.0,1.3745722112126657,0
barcelona,imbabura,imbabura,1,Francisco Fydriszewski,save,assisted,38.57235367669195,37.86263523179184,0,right-foot,high-centre,0,42.16444830811512,22.8,2545798,10,0.0,775,4.078939283511275,41.39365400698759,21.86097016070608,0,69.67138584437183,16.663431825477304,33,1925,shot,4.38333450390873,71.05743739686093,0.0,71.47959963082207,4.20632379792345,0
barcelona,imbabura,barcelona,1,Damián Díaz,miss,free-kick,6.292497608123281,37.29168222871223,0,right-foot,close-right,0,43.0,8.3,2545796,5,0.0,741,5.398601799975765,9.47187120638926,57.0,0,57.0,74.3231138340778,33,1959,shot,0.0,0.0,0.0,0.0,0.0,0
barcelona,imbabura,barcelona,1,Francisco Fydriszewski,block,throw-in-set-piece,4.009703599103932,0.2671797193651031,0,right-foot,low-centre,0,81.76000376141111,19.0,2545795,10,0.0,639,55.64022278125517,5.510946141221594,39.16113137618987,0,68.50302376394137,81.0,35,2061,shot,6.0,14.575310649352183,0.0,69.11519561432343,6.0,0
barcelona,imbabura,barcelona,1,Federico Paz,save,assisted,44.43171162561694,91.83508097153174,0,left-foot,low-centre,0,30.748583968040343,11.4,2545790,3,0.0,551,38.54509875123798,10.777960803792407,43.1495289324016,0,71.09717073377075,100.0,36,2149,shot,1.5285708112654972,47.348467803937126,0.0,9.791564618519047,0.2741593625506573,0
barcelona,imbabura,barcelona,1,Francisco Fydriszewski,miss,assisted,6.85067609006445,100.0,0,head,high,0,18.255438302325643,68.1,2545789,12,0.0,515,54.89871943442576,5.412830684450643,90.19400881261424,0,43.95702273136931,32.71639235912652,37,2185,shot,0.0,0.0,0.0,0.0,0.0,0
barcelona,imbabura,imbabura,1,Cristhian Solano,miss,assisted,9.863283950733589,38.0,0,head,close-left,0,20.17478169065747,8.3,2545788,-7,0.0,128,38.0,20.426482936447496,15.122767657451675,0,57.45868663911584,65.30638046023354,43,2572,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,nacional,1,Jordy Burbano,miss,regular,44.5875434109551,22.13710879185234,0,right-foot,close-high,0,70.1858979413537,58.3,2545161,83,0.0,5329,100.0,24.777811702127643,22.736873124040045,0,82.43885991217583,75.33356654853131,2,71,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,catolica,1,Luis Benalcazar,miss,assisted,34.0,100.0,0,left-foot,high,0,25.855018332004654,73.6,2545134,77,0.0,5072,92.63019217136502,34.0,0.04081258805026522,0,92.05917427768514,17.66360846828639,6,328,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,nacional,1,Arón Rodríguez,block,assisted,1.0431363068358142,64.58939174637811,0,left-foot,low-centre,0,80.93559857152798,19.0,2545155,87,0.0,4777,13.342974862497307,15.408775090252684,58.647272065471036,0,88.04048254306463,81.0,11,623,shot,8.009948346223059,49.86045675555967,0.0,50.847214710800884,0.926760860578348,0
catolica,nacional,catolica,1,Luis Benalcazar,miss,regular,53.682597182610365,13.343236924420644,0,left-foot,high,0,10.644751612824358,62.5,2545194,81,0.0,4715,32.08984558939871,66.38885422083762,14.586062962061874,0,98.65170244298322,54.76710422347952,12,685,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,nacional,1,Arón Rodríguez,block,assisted,8.956735985276216,100.0,0,right-foot,low-centre,0,50.597439340842016,19.0,2545144,67,0.0,4201,31.655099130104247,20.005097205684457,1.5985681990070049,0,43.91989998268008,81.0,20,1199,shot,13.171676976898633,39.73871099585188,0.0,75.21347509070159,0.7576250157180322,0
catolica,nacional,nacional,1,José Fajardo,goal,assisted,4.679704996931891,96.11378841549003,0,right-foot,low-left,0,74.76354239731107,1.9,2545029,66,0.0,4035,100.0,16.097471046898328,63.84550640802763,0,44.19984396608953,69.32130010359563,23,1365,shot,0.0,0.0,0.0,0.0,0.0,regular
catolica,nacional,nacional,1,Jordy Burbano,miss,set-piece,3.9804793741935214,3.215621465877433,0,right-foot,right,0,43.01817679711991,19.4,2545137,67,0.0,3753,8.402314610834672,54.914934005736136,7.920600564985818,0,100.0,77.77359372303735,28,1647,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,nacional,1,Kevin Minda,goal,corner,4.947710594562543,48.0,0,right-foot,low-left,0,31.638294187875324,10.1,2544919,55,0.0,3473,48.0,7.370743275208787,18.939016975303495,0,18.74420281149211,53.6877570382475,33,1927,shot,0.0,0.0,0.0,0.0,0.0,regular
catolica,nacional,catolica,1,Jhon Cifuente,block,corner,15.704137311624558,54.847210286141994,0,right-foot,low-centre,0,30.984888918132285,19.0,2544942,62,0.0,3472,99.98794807275902,2.597169531281704,14.37807583617733,0,10.315807526938165,81.0,33,1928,shot,0.47819614046692394,6.371812123215825,0.0,83.15761156230795,5.9126859021051485,0
catolica,nacional,catolica,1,Jhon Cifuente,block,assisted,9.68042073399883,92.0278991676174,0,right-foot,low-centre,0,51.0,19.0,2544910,66,0.0,3433,86.7992468202596,13.702204049733751,49.0,0,49.0,81.0,33,1967,shot,12.822542649369476,5.01535860753409,0.0,52.779041528900166,1.4147132320285678,0
catolica,nacional,nacional,1,Ismael Díaz,miss,assisted,27.087785836722574,40.0,0,right-foot,close-high-right,0,77.93931302853612,50.0,2544909,51,0.0,3384,40.0,15.262340227043547,81.70342680539873,0,54.16940095205338,50.0,34,2016,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,nacional,1,Ismael Díaz,block,assisted,15.0,72.0,0,right-foot,low-centre,0,87.1806180384702,19.0,2544889,41,0.0,3001,72.0,15.0,46.45615385160609,0,11.369521961013696,81.0,40,2399,shot,16.047618350673645,44.18278433751421,0.0,14.900771339468776,0.4929337554207578,0
catolica,nacional,nacional,1,Jhon Caicedo,miss,assisted,8.848760828299984,65.10428089494184,0,left-foot,high,0,4.1335823301582835,69.4,2544730,42,0.0,2563,93.32296504911832,11.502630091817618,53.177146668441075,0,54.64576552340001,45.41347609200796,3,137,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,nacional,1,Ismael Díaz,save,assisted,6.514521173454508,38.0,0,head,low-left,0,16.09595012926735,13.9,2544771,46,0.0,2295,38.0,4.67897823674018,31.768273478557816,0,68.82700362516594,38.62258797546073,7,405,shot,1.7054491268299679,43.863898708780845,0.0,56.68244090688268,0.5008246810674841,0
catolica,nacional,catolica,1,Kevin Minda,miss,corner,5.0,39.13233068334209,0,head,close-high,0,60.32921134299405,56.9,2544762,29,0.0,2051,94.77481333456511,5.0,0.61645508840585,0,73.32091615707574,6.474249437928414,11,649,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,nacional,1,Kevin Quevedo,save,assisted,36.3979522731486,69.17307763064369,0,right-foot,low-centre,0,68.41106445246808,19.0,2544616,39,0.0,2016,63.94130341005625,34.037719868305146,41.27833694867556,0,93.64947680447703,81.0,12,684,shot,7.749637591816921,94.69912827099881,0.0,42.04110174038552,2.5689787851827663,0
catolica,nacional,nacional,1,Fausto Grillo,miss,corner,6.0,100.0,0,head,close-left,0,7.074986750085614,29.2,2544615,27,0.0,1976,71.5870814769256,6.0,70.20276722209378,0,53.45980468882101,43.72548661538646,13,724,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,catolica,1,Jhon Cifuente,save,corner,15.481854799713986,30.858232516326048,0,head,high-centre,0,95.19298608076657,30.4,2544673,37,0.0,1956,26.15670385700175,1.1372824580867213,82.0523338385248,0,37.415252055122465,23.365525099056185,13,744,shot,3.1141484029877042,64.93234441358015,0.0,72.23899829806507,3.2883144784749434,0
catolica,nacional,nacional,1,Kevin Quevedo,save,assisted,8.0,100.0,0,right-foot,high-centre,0,29.565692302266115,25.9,2544652,30,0.0,1924,96.02329040088146,8.0,80.97749014788837,0,57.41515338319702,100.0,13,776,shot,4.134397375886361,32.01835581065897,0.0,65.85290265460861,4.496186738631475,0
catolica,nacional,nacional,1,Jordy Burbano,save,set-piece,5.166740811589015,19.41843019297353,0,right-foot,low-left,0,52.0,1.9,2544614,38,0.0,1756,49.28101659670257,8.174564820598263,48.0,0,48.0,100.0,16,944,shot,2.198577746201282,24.945794304282167,0.0,28.45934539770507,1.387456340454826,0
catolica,nacional,catolica,1,Jonathan Zambrano,miss,assisted,29.0,18.28375668150798,0,right-foot,close-right,0,4.577967988963216,34.7,2544578,32,0.0,1385,89.25814090058688,29.0,92.86283979732495,0,7.020118496881068,48.54135779290348,22,1315,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,catolica,1,Luciano Nieto,miss,assisted,4.812829150728788,56.0,0,left-foot,right,0,78.77553225194397,12.5,2544564,11,0.0,1117,56.0,59.5582425828493,20.372112253121514,0,100.0,91.61748732720162,27,1583,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,nacional,1,Jhon Cifuente,goal,fast-break,2.6159129906747274,2.3243786378088416,0,left-foot,high-left,0,86.61217476991253,30.4,2544552,24,0.0,975,72.5007986678252,3.61816693153745,85.65816781614531,0,32.46296426115596,100.0,29,1725,shot,0.0,0.0,0.0,0.0,0.0,regular
catolica,nacional,nacional,1,Teddye Lara,block,free-kick,50.49175732096273,44.24514852572241,0,right-foot,low-centre,0,38.77169776502307,19.0,2544546,19,0.0,961,23.789321455209205,12.639229089908245,28.0830650829539,0,74.34833057620202,81.0,29,1739,shot,22.0,75.26197000497916,0.0,20.158646511697654,22.0,0
catolica,nacional,catolica,1,Exon Gustavo Vallecilla,miss,assisted,3.3531981586617157,63.10587731214704,0,left-foot,close-right,0,50.52964504237747,23.6,2544531,20,0.0,862,19.64948179997949,52.74134538108062,72.19597084414666,0,77.1021143919766,67.1828939433585,31,1838,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,catolica,1,Kevin Peralta,miss,set-piece,3.7621926833651145,65.15529883022404,0,head,high,0,16.385486060316687,66.7,2544530,0,0.0,589,34.459750794659335,18.889347253313893,94.23607700035484,0,94.75688586906247,27.153634545995786,36,2111,shot,0.0,0.0,0.0,0.0,0.0,0
catolica,nacional,nacional,1,Kevin Minda,miss,regular,0.5734601021405048,78.5924726710239,0,right-foot,close-high,0,22.145114896593775,54.2,2544466,-7,0.0,74,100.0,4.421110260711728,32.60021100224959,0,45.28026652933179,60.36873699036869,44,2626,shot,0.0,0.0,0.0,0.0,0.0,0
cuenca,emelec,emelec,1,Gustavo Cortez,miss,assisted,27.750791051919094,48.73786995979407,0,left-foot,left,0,62.0,11.1,2539950,93,10.0,5979,50.70718928040395,21.36782204286294,38.0,0,38.0,100.0,1,321,shot,0.0,0.0,0.0,0.0,0.0,0
cuenca,emelec,emelec,1,Esteban Davila,goal,assisted,8.0,35.48718562935881,0,head,low-left,0,55.26978341579753,13.9,2539897,80,4.0,5624,80.46384901392332,8.0,40.455266865253485,0,58.53703690856171,100.0,1,676,shot,0.0,0.0,0.0,0.0,0.0,regular
cuenca,emelec,emelec,1,Lucas Mancinelli,miss,free-kick,16.11203483316084,38.00751934889405,0,right-foot,left,0,86.60519453570794,15.3,2539891,82,1.0,5428,4.871394176052412,23.79192079346877,63.543418374568745,0,62.42675147019196,100.0,1,872,shot,0.0,0.0,0.0,0.0,0.0,0
